ts,protocol,source,device,message,word_count,action_category,actual_latency_ms,cascaded_latency_ms,improvement_pct,asr_ms,llm_ms,tts_ms,direct_system,cascaded_system
1777843091.206,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,36.06,2236.06,98.39,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843094.238,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,9.91,2209.91,99.55,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843095.788,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,6.03,2206.03,99.73,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843105.873,adaptive,det,iphone,"Wheel left, 4.5 meters.",4,info,17.17,2217.17,99.23,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843107.907,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,46.02,2246.02,97.95,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843110.945,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,14.62,2214.62,99.34,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843123.118,adaptive,det,iphone,"Chair left, 2.2 meters.",4,info,19.36,2219.36,99.13,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843124.541,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,39.85,2239.85,98.22,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843127.532,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,5.83,2205.83,99.74,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843134.622,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,331.43,2531.43,86.91,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
